F3Por (SSPU),F3w (-),F4Por (SSPU),F4w (-),F5Por (SSPU),F5w (-)
0.28887241,0.61586405,0.22,0.52,0.3,0.87
0.39336242,0.47918371,0.28,0.43,0.3,0.61
0.31606042,0.65213374,0.29,0.48,0.33,0.56
0.38398168,0.4359165,0.302192,0.730994,0.33,0.67
0.32427761,0.56471711,0.279864,0.822267,0.32,0.79
0.3427962,0.47183106,0.20588,0.819012,0.29,0.8
0.306649,0.4218869,0.327914,0.33969,0.28,0.78
0.2915144,0.42348976,0.2236068,0.83920357,0.27,0.72
0.36739055,0.38147676,0.28635642,0.74566022,0.3,0.91
0.38211205,0.36996704,0.27313001,0.83247294,0.23,0.69
0.35904406,0.43973505,0.29529646,0.75439398,0.26,0.49
0.37367522,0.42771749,0.18,0.91,0.27,0.47
0.224378,0.395435,0.23,0.82,0.28,0.79
0.226856,0.606608,0.23,0.86,0.15,0.81
0.301595,0.479647,0.28507428,0.6105988,0.321431,0.739938
0.305241,0.505761,0.23476743,0.69597008,0.309725,0.68539
0.278899,0.539267,0.27994516,0.79584908,0.261822,0.733514
0.261828,0.567216,,,0.298535,0.665598
0.277481,0.508609,,,0.24610448,0.72725846
0.294749,0.507935,,,0.27442168,0.52251756
0.288045,0.554674,,,0.34696656,0.47688485
0.28008,0.474027,,,0.39,0.42952164
0.22310244,0.69889271,,,0.37208707,0.46033798
0.3078434,0.55883134,,,0.36831956,0.45091015
0.21811273,0.56346606,,,0.34320918,0.45832042
0.24674226,0.76585257,,,0.36608622,0.35945568
0.31390826,0.7134984,,,0.34350564,0.34164996
0.33376639,0.67254257,,,0.21360911,0.59956726
0.29406561,0.80973364,,,0.22368634,0.55150266
0.29457663,0.78961617,,,0.3294627,0.37791836
0.31718266,0.73584602,,,0.3385054,0.33973298
0.35711269,0.72368689,,,0.32987617,0.47685842
0.23,0.75,,,0.32308201,0.46841625
0.33,0.62,,,0.37058481,0.52421831
0.33,0.62,,,0.34616844,0.56562824
0.34,0.61,,,0.26059338,0.63407302
0.32,0.61,,,0.34520627,0.49192341
0.32,0.61,,,0.37086609,0.41647171
0.33,0.61,,,0.287438,0.790283
0.33,0.62,,,0.306399,0.614397
0.34,0.61,,,0.174517,0.661091
0.34,0.61,,,0.127291,0.746458
0.34,0.61,,,0.338721,0.514968
0.21264753,0.73275012,,,0.34492,0.484663
0.32065056,0.49455775,,,0.238001,0.63659
0.33324624,0.47159159,,,0.217217,0.707152
0.31098373,0.48232133,,,0.265123,0.570783
0.3058813,0.44386697,,,0.24712,0.576114
0.26462904,0.5391264,,,0.204011,0.885094
0.28890811,0.38328052,,,0.21566,0.821044
0.3218842,0.36828837,,,0.314397,0.611487
0.32345951,0.38442115,,,0.318218,0.540402
0.28844988,0.42760243,,,0.34304,0.394744
0.29591926,0.43900898,,,0.370405,0.416767
0.33335752,0.41812577,,,0.338774,0.475793
,,,,0.322037,0.37577
,,,,0.388097,0.374413
,,,,0.377688,0.38545
,,,,0.373791,0.311085
,,,,0.375346,0.30532
,,,,0.352034,0.299921
,,,,0.35829,0.278098
,,,,0.306003,0.340547
,,,,0.255813,0.687442
,,,,0.241433,0.444003
,,,,0.30495,0.333355
,,,,0.323035,0.256785
,,,,0.275766,0.334502
,,,,0.267177,0.564932
,,,,0.142662,0.570806
,,,,0.248567,0.630866
,,,,0.211815,0.717013
,,,,0.246816,0.829433
,,,,0.286019,0.402407
,,,,0.345443,0.285507
,,,,0.333968,0.546544
,,,,0.232329,0.884214
,,,,0.241602,0.504425
,,,,0.214705,0.759158
,,,,0.19994016,0.83897163
,,,,0.25713769,0.83134812
,,,,0.25744746,0.64475354
,,,,0.23611943,0.83443972
,,,,0.25771123,0.80871843
,,,,0.20733442,0.88468373
,,,,0.21566156,0.82862575
,,,,0.22,0.86
,,,,0.24,0.88
,,,,0.23,0.85
,,,,0.28,0.72
,,,,0.27,0.64
,,,,0.33,0.51
,,,,0.16,0.86
,,,,0.25,0.71
,,,,0.3,0.69
,,,,0.29,0.74
,,,,0.33,0.59
,,,,0.38,0.52
,,,,0.38,0.52
,,,,0.35,0.55
,,,,0.37,0.54
,,,,0.37,0.54
,,,,0.35,0.59
,,,,0.3,0.65
,,,,0.31,0.62
,,,,0.22,0.76
,,,,0.31,0.65
,,,,0.28,0.7
,,,,0.32,0.67
,,,,0.39,0.56
,,,,0.31,0.63
,,,,0.36,0.56
,,,,0.22,0.79
,,,,0.29,0.62
,,,,0.28,0.66
,,,,0.30634217,0.56076532
,,,,0.28066608,0.60880742
,,,,0.24937165,0.67307187
,,,,0.21421455,0.82913778
,,,,0.33078446,0.45395769
,,,,0.36337454,0.4117353
,,,,0.32682246,0.36390326
,,,,0.30199926,0.43695992
,,,,0.31160483,0.39886054
,,,,0.31114483,0.36173008
,,,,0.33496035,0.27087033
,,,,0.25870504,0.39651827
,,,,0.329267,0.41566548
,,,,0.25241008,0.31276993
,,,,0.27704695,0.43483774
,,,,0.23762355,0.64511061
,,,,0.26937213,0.58896134
,,,,0.28570485,0.55548115
,,,,0.30118599,0.49299855
,,,,0.24428084,0.76574689
,,,,0.29244748,0.4186851
,,,,0.29108901,0.38482851
,,,,0.29318376,0.51375403
,,,,0.28703809,0.52820296
,,,,0.22002224,0.88629127
,,,,0.23015749,0.8104624
,,,,0.21131247,0.84699586